pk,sk,building_id,data,project_id,type,unit_number,updated_at
Aria,1,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,1,2025-10-28T00:45:00.000Z
Aria,2,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,2,2025-10-28T00:45:00.000Z
Aria,3,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,3,2025-10-28T00:45:00.000Z
Aria,4,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,4,2025-10-28T00:45:00.000Z
Aria,5,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,5,2025-10-28T00:45:00.000Z
Aria,6,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,6,2025-10-28T00:45:00.000Z
Aria,7,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,7,2025-10-28T00:45:00.000Z
Aria,8,Building 1," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,8,2025-10-28T00:45:00.000Z
Aria,9,Building 2," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,9,2025-10-28T00:45:00.000Z
Aria,10,Building 2," {""building"": null, ""unit"": {""anchor"": """", ""overrides"": {},""Pending Release"":null,""StatusNumeric"":""5""}}",Aria,unit,10,2025-10-28T00:45:00.000Z
